account,queue,status,changed_datetime
92669,OTHER,ARCHIVED,2025-05-24 02:58:31
47933,PAYING,PAY PROP,2025-05-24 03:35:44
39776,OTHER,ARCHIVED,2025-05-24 04:28:07
94714,TRACE,GONEAWAY,2025-05-24 05:42:27
81675,PAYING,PAY PROP,2025-05-24 05:53:30
21399,LEGAL,LEG VERIF 1,2025-05-24 06:38:29
71242,LEGAL,LEG VERIF 1,2025-05-24 06:55:36
74670,COLLECTIONS,PAY OVER,2025-05-24 06:56:23
28504,PAYING,PAY CURR,2025-05-24 07:17:21
36313,INSOLVENCY,INS4,2025-05-24 09:58:04
19099,TRACE,GONEAWAY,2025-05-24 10:55:35
96772,SETTLED,SETTLED,2025-05-24 12:14:28
34650,LEGAL,HOLD FO,2025-05-24 13:19:20
37988,SETTLED,SETTLED,2025-05-24 13:40:22
77262,COLLECTIONS,PRIME_D,2025-05-24 14:47:09
70437,INSOLVENCY,INS4,2025-05-24 16:35:44
58064,COLLECTIONS,CANCEL2,2025-05-24 16:43:57
42252,LEGAL,LEG VERIF 2,2025-05-24 17:02:28
81634,INSOLVENCY,INS3,2025-05-24 17:06:55
86556,COLLECTIONS,PRIME_D,2025-05-24 22:07:10
