account,queue,status,changed_datetime
32687,COLLECTIONS,TELSOLUTIONS4,2025-05-09 00:29:24
55200,INSOLVENCY,INS4,2025-05-09 01:48:15
93496,LEGAL,LEG VERIF 2,2025-05-09 02:44:03
26232,COLLECTIONS,CANCEL4,2025-05-09 03:50:27
52697,COLLECTIONS,PRIME,2025-05-09 04:39:55
54549,TRACE,GONEAWAY,2025-05-09 05:39:57
35227,INSOLVENCY,INS1,2025-05-09 07:05:00
45153,INSOLVENCY,INS3,2025-05-09 07:27:15
77262,SETTLED,SETTLED,2025-05-09 08:27:42
97280,OTHER,ARCHIVED,2025-05-09 09:54:55
70180,COLLECTIONS,CANCEL4,2025-05-09 11:56:56
91402,COLLECTIONS,CANCEL4,2025-05-09 15:16:47
26066,TRACE,GONEAWAY,2025-05-09 15:17:39
84211,COLLECTIONS,CANCEL2,2025-05-09 18:21:19
39313,COLLECTIONS,TELSOLUTIONS1,2025-05-09 19:59:07
14961,SETTLED,SETTLED,2025-05-09 20:06:01
43314,LEGAL,LEG_NOT,2025-05-09 21:42:45
20507,TRACE,GONEAWAY,2025-05-09 21:44:43
