account,queue,status,month,day
49999,INSOLVENCY,INS4,01,05
19372,TRACE,GONEAWAY,01,05
52137,OTHER,ARCHIVED,01,05
83620,TRACE,GONEAWAY,01,05
49171,OTHER,ARCHIVED,01,05
10474,COLLECTIONS,TELSOLUTIONS1,01,05
60663,SETTLED,SETTLED,01,05
46545,OTHER,ARCHIVED,01,05
95324,PAYING,PAY CURR,01,05
48786,SETTLED,SETTLED,01,05
94638,TRACE,GONEAWAY,01,05
43314,LEGAL,LEG_TIT,01,05
31658,LEGAL,HOLD FO,01,05
98298,PAYING,PAY PROP,01,05
86556,SETTLED,SETTLED,01,05
15248,LEGAL,LEG VERIF 1,01,05
90725,TRACE,GONEAWAY,01,05
14117,LEGAL,HOLD FO,01,05
47808,PAYING,PAY PROP,01,05
50973,OTHER,ARCHIVED,01,05
10506,OTHER,ARCHIVED,01,05
83652,COLLECTIONS,PRIME,01,05
31903,TRACE,GONEAWAY,01,05
63099,LEGAL,LEG_NOT,01,05
28442,COLLECTIONS,CASSIST2,01,05
21707,INSOLVENCY,INS4,01,05
82095,OTHER,ARCHIVED,01,05
38899,COLLECTIONS,PRIME,01,05
74894,OTHER,ARCHIVED,01,05
53016,OTHER,ARCHIVED,01,05
91099,LEGAL,HOLD FO,01,05
84455,COLLECTIONS,TELSOLUTIONS1,01,05
16628,SETTLED,SETTLED,01,05
73556,COLLECTIONS,CANCEL4,01,05
53131,PAYING,PAY PROP,01,05
23982,LEGAL,HOLD FO,01,05
48880,TRACE,GONEAWAY,01,05
82007,LEGAL,LEG VERIF 1,01,05
53017,TRACE,GONEAWAY,01,05
19986,OTHER,ARCHIVED,01,05
88706,COLLECTIONS,PRIME,01,05
35504,SETTLED,SETTLED,01,05
76500,COLLECTIONS,CASSIST2,01,05
68484,TRACE,GONEAWAY,01,05
45539,LEGAL,LEG VERIF 2,01,05
14006,OTHER,ARCHIVED,01,05
19099,LEGAL,LEG VERIF 1,01,05
26168,LEGAL,LEG_NOT,01,05
33783,LEGAL,LEG_TIT,01,05
25733,COLLECTIONS,PAY OVER,01,05
25726,INSOLVENCY,INS2,01,05
31172,LEGAL,LEG VERIF 2,01,05
35401,TRACE,GONEAWAY,01,05
26696,OTHER,ARCHIVED,01,05
20307,SETTLED,SETTLED,01,05
94706,TRACE,GONEAWAY,01,05
28382,LEGAL,LEG_NOT,01,05
91710,PAYING,PAY PROP,01,05
80451,COLLECTIONS,CANCEL2,01,05
85241,SETTLED,SETTLED,01,05
95997,PAYING,PAY PROP,01,05
57417,OTHER,ARCHIVED,01,05
94928,OTHER,ARCHIVED,01,05
29210,PAYING,PAY PROP,01,05
58244,SETTLED,SETTLED,01,05
96772,OTHER,ARCHIVED,01,05
39629,SETTLED,SETTLED,01,05
70180,TRACE,GONEAWAY,01,05
