account,queue,status,changed_datetime
95997,SETTLED,SETTLED,2025-02-12 01:24:35
35401,SETTLED,SETTLED,2025-02-12 01:56:30
68484,COLLECTIONS,TELSOLUTIONS4,2025-02-12 04:04:54
47933,COLLECTIONS,CANCEL2,2025-02-12 04:09:31
27620,TRACE,GONEAWAY,2025-02-12 04:29:10
94751,INSOLVENCY,INS4,2025-02-12 04:48:30
40856,TRACE,GONEAWAY,2025-02-12 05:17:02
58984,PAYING,PAY PROP,2025-02-12 06:29:37
25733,LEGAL,LEG_NOT,2025-02-12 07:00:12
13356,INSOLVENCY,INS1,2025-02-12 07:55:31
86543,OTHER,ARCHIVED,2025-02-12 09:23:37
59344,OTHER,ARCHIVED,2025-02-12 09:43:53
63848,COLLECTIONS,TELSOLUTIONS1,2025-02-12 10:52:24
93257,OTHER,ARCHIVED,2025-02-12 13:50:56
45495,SETTLED,SETTLED,2025-02-12 14:51:08
62495,SETTLED,SETTLED,2025-02-12 18:36:33
95324,COLLECTIONS,CASSIST2,2025-02-12 18:37:54
48880,OTHER,ARCHIVED,2025-02-12 19:46:53
96425,OTHER,ARCHIVED,2025-02-12 22:00:38
