account,queue,status,changed_datetime
14184,SETTLED,SETTLED,2025-03-13 03:08:10
89176,INSOLVENCY,INSP,2025-03-13 03:16:32
77395,COLLECTIONS,TELSOLUTIONS4,2025-03-13 06:17:27
85466,PAYING,PAY PROP,2025-03-13 08:45:09
77917,INSOLVENCY,INS3,2025-03-13 10:57:33
25000,COLLECTIONS,TELSOLUTIONS1,2025-03-13 11:26:31
33347,COLLECTIONS,PAY OVER,2025-03-13 11:44:51
13787,INSOLVENCY,INS2,2025-03-13 12:14:26
34223,LEGAL,LEG VERIF 1,2025-03-13 12:22:06
31527,PAYING,PAY CURR,2025-03-13 16:27:05
29210,LEGAL,LEG VERIF 2,2025-03-13 17:37:05
40987,COLLECTIONS,PAY OVER,2025-03-13 18:30:01
59344,OTHER,ARCHIVED,2025-03-13 19:17:15
31172,PAYING,PAY CURR,2025-03-13 19:32:43
32687,TRACE,GONEAWAY,2025-03-13 23:11:57
62692,LEGAL,LEG_NOT,2025-03-13 23:41:26
