account,queue,status,changed_datetime
86086,OTHER,ARCHIVED,2025-05-01 00:01:14
26514,SETTLED,SETTLED,2025-05-01 02:36:00
84455,COLLECTIONS,CASSIST2,2025-05-01 03:28:53
59639,OTHER,ARCHIVED,2025-05-01 11:12:04
30943,OTHER,ARCHIVED,2025-05-01 12:31:36
67396,PAYING,PAY CURR,2025-05-01 13:18:47
88706,LEGAL,HOLD FO,2025-05-01 13:23:55
48880,SETTLED,SETTLED,2025-05-01 13:37:53
91435,PAYING,PAY CURR,2025-05-01 15:36:56
81634,TRACE,GONEAWAY,2025-05-01 17:36:53
29593,SETTLED,SETTLED,2025-05-01 19:49:49
71125,PAYING,PAY PROP,2025-05-01 20:02:58
47532,SETTLED,SETTLED,2025-05-01 22:51:11
