account,queue,status,changed_datetime
85043,SETTLED,SETTLED,2025-06-09 04:10:27
34629,INSOLVENCY,INS4,2025-06-09 06:25:49
92255,INSOLVENCY,INS4,2025-06-09 07:20:34
98254,OTHER,ARCHIVED,2025-06-09 10:55:45
98794,LEGAL,LEG_NOT,2025-06-09 13:21:24
59505,LEGAL,HOLD FO,2025-06-09 14:15:26
13356,LEGAL,LEG VERIF 1,2025-06-09 15:01:11
69833,INSOLVENCY,INS1,2025-06-09 20:11:44
59399,COLLECTIONS,TELSOLUTIONS1,2025-06-09 20:38:42
35919,OTHER,ARCHIVED,2025-06-09 21:36:52
63223,INSOLVENCY,INSP,2025-06-09 21:42:01
