account,queue,status,changed_datetime
44286,INSOLVENCY,INS4,2024-12-03 01:32:11
11449,LEGAL,LEG_TIT,2024-12-03 02:47:12
33347,TRACE,GONEAWAY,2024-12-03 03:01:11
19523,TRACE,GONEAWAY,2024-12-03 03:44:51
78353,PAYING,PAY PROP,2024-12-03 04:45:24
77262,PAYING,PAY CURR,2024-12-03 04:48:07
44502,INSOLVENCY,INS2,2024-12-03 05:18:48
89313,SETTLED,SETTLED,2024-12-03 05:33:39
19675,COLLECTIONS,TELSOLUTIONS4,2024-12-03 05:56:58
83943,TRACE,GONEAWAY,2024-12-03 07:53:00
68861,COLLECTIONS,PRIME,2024-12-03 10:56:05
53017,OTHER,ARCHIVED,2024-12-03 10:57:38
55992,TRACE,GONEAWAY,2024-12-03 11:53:00
53016,INSOLVENCY,INS4,2024-12-03 13:23:34
81634,SETTLED,SETTLED,2024-12-03 18:01:26
10474,PAYING,PAY PROP,2024-12-03 21:58:38
