account,queue,status,changed_datetime
58244,TRACE,GONEAWAY,2025-06-22 00:56:40
35919,LEGAL,HOLD FO,2025-06-22 02:04:59
79279,TRACE,GONEAWAY,2025-06-22 05:04:12
26232,OTHER,ARCHIVED,2025-06-22 05:06:00
75723,PAYING,PAY PROP,2025-06-22 05:52:02
62692,TRACE,GONEAWAY,2025-06-22 08:23:01
27223,OTHER,ARCHIVED,2025-06-22 08:39:43
91173,OTHER,ARCHIVED,2025-06-22 08:46:05
13861,TRACE,GONEAWAY,2025-06-22 09:05:18
44476,OTHER,ARCHIVED,2025-06-22 09:35:55
44286,LEGAL,HOLD FO,2025-06-22 10:14:42
51246,TRACE,GONEAWAY,2025-06-22 10:42:41
79521,LEGAL,HOLD FO,2025-06-22 12:58:11
45539,OTHER,ARCHIVED,2025-06-22 17:54:58
91142,OTHER,ARCHIVED,2025-06-22 23:02:55
99694,SETTLED,SETTLED,2025-06-22 23:38:51
