account,queue,status,changed_datetime
97918,COLLECTIONS,TELSOLUTIONS4,2025-01-13 01:25:17
74670,COLLECTIONS,PAY OVER,2025-01-13 01:47:02
14961,LEGAL,LEG VERIF 2,2025-01-13 02:33:09
26514,TRACE,GONEAWAY,2025-01-13 02:47:14
11352,OTHER,ARCHIVED,2025-01-13 07:05:11
15248,LEGAL,LEG VERIF 1,2025-01-13 09:14:18
59505,INSOLVENCY,INS1,2025-01-13 09:36:43
23382,LEGAL,LEG VERIF 1,2025-01-13 10:35:55
55992,OTHER,ARCHIVED,2025-01-13 12:14:16
44060,OTHER,ARCHIVED,2025-01-13 12:27:58
63848,INSOLVENCY,INSP,2025-01-13 12:40:56
43314,LEGAL,LEG_TIT,2025-01-13 12:55:42
29623,COLLECTIONS,PAY OVER,2025-01-13 13:42:04
19413,COLLECTIONS,CASSIST2,2025-01-13 15:42:55
26168,LEGAL,LEG_NOT,2025-01-13 17:31:34
62345,COLLECTIONS,CASSIST2,2025-01-13 17:54:09
85441,OTHER,ARCHIVED,2025-01-13 20:12:54
95232,OTHER,ARCHIVED,2025-01-13 21:51:47
38621,COLLECTIONS,TELSOLUTIONS1,2025-01-13 22:39:23
59940,COLLECTIONS,PRIME,2025-01-13 23:48:15
