account,queue,status,month,day
34083,LEGAL,LEG_NOT,02,05
39313,INSOLVENCY,INSP,02,05
36291,COLLECTIONS,PAY OVER,02,05
91537,INSOLVENCY,INS3,02,05
37924,LEGAL,HOLD FO,02,05
39116,PAYING,PAY CURR,02,05
14567,SETTLED,SETTLED,02,05
52087,TRACE,GONEAWAY,02,05
74428,COLLECTIONS,CASSIST2,02,05
85241,INSOLVENCY,INS2,02,05
97280,COLLECTIONS,TELSOLUTIONS4,02,05
27620,TRACE,GONEAWAY,02,05
90213,OTHER,ARCHIVED,02,05
40079,COLLECTIONS,CANCEL2,02,05
63223,COLLECTIONS,PAY OVER,02,05
89178,LEGAL,LEG_TIT,02,05
32998,TRACE,GONEAWAY,02,05
45495,SETTLED,SETTLED,02,05
60199,OTHER,ARCHIVED,02,05
19523,TRACE,GONEAWAY,02,05
86013,LEGAL,LEG_NOT,02,05
13664,INSOLVENCY,INS3,02,05
98298,OTHER,ARCHIVED,02,05
43314,SETTLED,SETTLED,02,05
46986,OTHER,ARCHIVED,02,05
83620,INSOLVENCY,INSP,02,05
65156,COLLECTIONS,CASSIST2,02,05
58473,TRACE,GONEAWAY,02,05
84256,PAYING,PAY PROP,02,05
82735,OTHER,ARCHIVED,02,05
35919,COLLECTIONS,PRIME,02,05
77395,PAYING,PAY CURR,02,05
81029,COLLECTIONS,CASSIST2,02,05
87394,COLLECTIONS,CANCEL2,02,05
91712,OTHER,ARCHIVED,02,05
42494,PAYING,PAY CURR,02,05
85922,COLLECTIONS,PAY OVER,02,05
48388,TRACE,GONEAWAY,02,05
19086,SETTLED,SETTLED,02,05
51216,INSOLVENCY,INS3,02,05
75723,COLLECTIONS,PAY OVER,02,05
20457,TRACE,GONEAWAY,02,05
17320,TRACE,GONEAWAY,02,05
94606,INSOLVENCY,INS4,02,05
13883,LEGAL,HOLD FO,02,05
63538,TRACE,GONEAWAY,02,05
11254,INSOLVENCY,INS4,02,05
87459,COLLECTIONS,CANCEL2,02,05
88654,OTHER,ARCHIVED,02,05
78987,TRACE,GONEAWAY,02,05
31933,COLLECTIONS,PAY OVER,02,05
95291,OTHER,ARCHIVED,02,05
70629,TRACE,GONEAWAY,02,05
39966,LEGAL,HOLD FO,02,05
28382,SETTLED,SETTLED,02,05
17880,TRACE,GONEAWAY,02,05
84455,LEGAL,HOLD FO,02,05
80451,INSOLVENCY,INS2,02,05
59399,OTHER,ARCHIVED,02,05
26514,COLLECTIONS,TELSOLUTIONS1,02,05
97661,TRACE,GONEAWAY,02,05
