account,queue,status,changed_datetime
26232,OTHER,ARCHIVED,2025-07-19 03:16:57
72340,PAYING,PAY CURR,2025-07-19 04:01:20
34629,INSOLVENCY,INS2,2025-07-19 04:15:21
36810,OTHER,ARCHIVED,2025-07-19 04:34:01
28382,SETTLED,SETTLED,2025-07-19 05:18:03
77535,PAYING,PAY CURR,2025-07-19 10:10:06
31172,LEGAL,LEG_TIT,2025-07-19 11:12:14
91435,SETTLED,SETTLED,2025-07-19 12:59:44
46494,OTHER,ARCHIVED,2025-07-19 13:38:31
95230,COLLECTIONS,TELSOLUTIONS4,2025-07-19 16:01:43
74104,COLLECTIONS,TELSOLUTIONS1,2025-07-19 16:03:13
91558,OTHER,ARCHIVED,2025-07-19 17:38:32
46992,OTHER,ARCHIVED,2025-07-19 19:08:49
58984,PAYING,PAY CURR,2025-07-19 19:50:01
82324,LEGAL,LEG VERIF 1,2025-07-19 20:32:15
13787,COLLECTIONS,PRIME_D,2025-07-19 22:46:47
62106,INSOLVENCY,INS3,2025-07-19 22:58:42
91710,OTHER,ARCHIVED,2025-07-19 23:47:05
