account,queue,status,changed_datetime
55558,SETTLED,SETTLED,2025-09-03 01:23:04
91712,COLLECTIONS,TELSOLUTIONS4,2025-09-03 01:56:47
84211,INSOLVENCY,INS3,2025-09-03 03:06:17
64136,LEGAL,LEG_TIT,2025-09-03 03:08:42
43108,PAYING,PAY CURR,2025-09-03 08:34:04
45539,INSOLVENCY,INSP,2025-09-03 12:46:24
13416,COLLECTIONS,PRIME,2025-09-03 12:50:09
52137,COLLECTIONS,CASSIST2,2025-09-03 13:52:48
82789,COLLECTIONS,CANCEL2,2025-09-03 14:37:58
16628,OTHER,ARCHIVED,2025-09-03 17:50:06
26696,PAYING,PAY PROP,2025-09-03 20:27:33
87459,INSOLVENCY,INS4,2025-09-03 21:05:12
20233,SETTLED,SETTLED,2025-09-03 21:52:57
95997,COLLECTIONS,CANCEL2,2025-09-03 22:02:53
37628,LEGAL,LEG_NOT,2025-09-03 22:36:52
86693,INSOLVENCY,INSP,2025-09-03 23:48:36
