account,queue,status,changed_datetime
39175,COLLECTIONS,CANCEL4,2024-12-20 03:22:57
52219,COLLECTIONS,CANCEL4,2024-12-20 04:59:56
77395,INSOLVENCY,INS4,2024-12-20 05:10:21
91001,COLLECTIONS,CASSIST2,2024-12-20 05:16:06
47857,LEGAL,HOLD FO,2024-12-20 07:26:50
82789,PAYING,PAY CURR,2024-12-20 08:02:19
67303,COLLECTIONS,TELSOLUTIONS1,2024-12-20 10:40:54
59344,LEGAL,LEG VERIF 1,2024-12-20 11:18:22
31527,PAYING,PAY PROP,2024-12-20 11:33:17
67701,COLLECTIONS,TELSOLUTIONS4,2024-12-20 13:32:53
27800,OTHER,ARCHIVED,2024-12-20 14:13:52
71914,INSOLVENCY,INSP,2024-12-20 16:18:00
39776,LEGAL,LEG VERIF 2,2024-12-20 17:33:52
31658,TRACE,GONEAWAY,2024-12-20 19:51:20
95157,LEGAL,LEG_NOT,2024-12-20 19:54:54
28382,LEGAL,LEG VERIF 1,2024-12-20 21:45:17
