account,queue,status,changed_datetime
31233,COLLECTIONS,PAY OVER,2025-10-08 01:28:19
60048,PAYING,PAY CURR,2025-10-08 04:49:24
81469,LEGAL,LEG_NOT,2025-10-08 05:36:13
27223,COLLECTIONS,TELSOLUTIONS1,2025-10-08 07:58:10
48354,OTHER,ARCHIVED,2025-10-08 12:11:59
66755,OTHER,ARCHIVED,2025-10-08 15:41:38
44060,LEGAL,LEG_NOT,2025-10-08 16:10:53
87432,OTHER,ARCHIVED,2025-10-08 19:35:14
42252,COLLECTIONS,TELSOLUTIONS4,2025-10-08 19:42:49
17993,COLLECTIONS,TELSOLUTIONS1,2025-10-08 19:53:23
91710,LEGAL,HOLD FO,2025-10-08 21:20:09
27800,LEGAL,LEG_NOT,2025-10-08 23:58:04
