account,queue,status,changed_datetime
27543,PAYING,PAY PROP,2025-09-06 04:31:06
13206,OTHER,ARCHIVED,2025-09-06 06:41:17
60048,OTHER,ARCHIVED,2025-09-06 07:23:39
19413,PAYING,PAY PROP,2025-09-06 08:25:33
39175,INSOLVENCY,INS3,2025-09-06 09:28:55
19372,SETTLED,SETTLED,2025-09-06 09:37:27
12247,INSOLVENCY,INS4,2025-09-06 09:38:00
13206,INSOLVENCY,INS3,2025-09-06 11:20:11
28504,LEGAL,LEG VERIF 2,2025-09-06 13:13:39
78633,LEGAL,LEG_TIT,2025-09-06 14:44:25
46588,OTHER,ARCHIVED,2025-09-06 17:31:46
47543,PAYING,PAY PROP,2025-09-06 18:55:47
27497,COLLECTIONS,CANCEL2,2025-09-06 19:40:15
76500,SETTLED,SETTLED,2025-09-06 20:12:29
96772,PAYING,PAY CURR,2025-09-06 20:29:47
86086,TRACE,GONEAWAY,2025-09-06 20:47:27
23382,OTHER,ARCHIVED,2025-09-06 21:11:40
48388,PAYING,PAY PROP,2025-09-06 23:37:47
