account,queue,status,changed_datetime
50973,OTHER,ARCHIVED,2025-07-01 01:10:10
49171,OTHER,ARCHIVED,2025-07-01 01:27:55
92889,OTHER,ARCHIVED,2025-07-01 02:49:16
56961,OTHER,ARCHIVED,2025-07-01 03:28:19
54549,OTHER,ARCHIVED,2025-07-01 14:04:12
35227,COLLECTIONS,PAY OVER,2025-07-01 14:52:43
19413,OTHER,ARCHIVED,2025-07-01 15:51:30
74104,INSOLVENCY,INS1,2025-07-01 15:54:38
85441,TRACE,GONEAWAY,2025-07-01 17:05:47
67701,TRACE,GONEAWAY,2025-07-01 21:20:35
54885,COLLECTIONS,CANCEL4,2025-07-01 23:44:19
