account,queue,status,changed_datetime
61582,OTHER,ARCHIVED,2025-03-19 01:04:06
45539,TRACE,GONEAWAY,2025-03-19 02:16:58
37781,PAYING,PAY CURR,2025-03-19 02:44:23
18838,TRACE,GONEAWAY,2025-03-19 02:45:15
66755,OTHER,ARCHIVED,2025-03-19 03:46:36
85466,LEGAL,LEG_NOT,2025-03-19 04:21:04
65864,SETTLED,SETTLED,2025-03-19 06:23:47
73556,SETTLED,SETTLED,2025-03-19 06:37:14
60840,INSOLVENCY,INS2,2025-03-19 07:02:12
45495,SETTLED,SETTLED,2025-03-19 09:06:53
24815,COLLECTIONS,CASSIST2,2025-03-19 09:36:41
89637,COLLECTIONS,PRIME,2025-03-19 09:55:07
74228,INSOLVENCY,INS2,2025-03-19 10:11:00
29836,SETTLED,SETTLED,2025-03-19 12:51:20
40856,LEGAL,LEG VERIF 2,2025-03-19 13:42:39
13356,SETTLED,SETTLED,2025-03-19 14:32:16
17320,PAYING,PAY PROP,2025-03-19 18:36:28
14184,SETTLED,SETTLED,2025-03-19 21:03:15
10474,OTHER,ARCHIVED,2025-03-19 23:07:42
13206,LEGAL,LEG_TIT,2025-03-19 23:56:32
