account,queue,status,changed_datetime
71914,SETTLED,SETTLED,2025-04-28 03:27:05
41740,LEGAL,LEG_NOT,2025-04-28 03:33:29
97661,LEGAL,LEG VERIF 2,2025-04-28 06:04:42
52436,PAYING,PAY PROP,2025-04-28 06:15:39
44289,OTHER,ARCHIVED,2025-04-28 08:24:53
27620,SETTLED,SETTLED,2025-04-28 09:07:01
77013,INSOLVENCY,INS4,2025-04-28 09:24:49
93809,TRACE,GONEAWAY,2025-04-28 09:30:58
46992,LEGAL,LEG VERIF 2,2025-04-28 10:52:08
67396,LEGAL,LEG VERIF 1,2025-04-28 11:04:29
69313,SETTLED,SETTLED,2025-04-28 14:17:04
77917,PAYING,PAY PROP,2025-04-28 15:08:25
95997,TRACE,GONEAWAY,2025-04-28 16:46:44
77395,SETTLED,SETTLED,2025-04-28 20:47:32
26168,PAYING,PAY PROP,2025-04-28 23:10:08
23982,PAYING,PAY CURR,2025-04-28 23:53:17
