account,queue,status,changed_datetime
62106,OTHER,ARCHIVED,2025-09-20 01:00:47
13883,COLLECTIONS,PRIME,2025-09-20 01:21:54
35504,COLLECTIONS,PAY OVER,2025-09-20 01:49:36
97132,INSOLVENCY,INS1,2025-09-20 05:47:48
93496,INSOLVENCY,INS2,2025-09-20 07:17:01
31233,LEGAL,LEG VERIF 1,2025-09-20 08:57:08
41546,INSOLVENCY,INS2,2025-09-20 09:06:45
91658,INSOLVENCY,INSP,2025-09-20 10:01:07
31658,SETTLED,SETTLED,2025-09-20 10:38:26
10180,TRACE,GONEAWAY,2025-09-20 12:06:00
44060,COLLECTIONS,TELSOLUTIONS4,2025-09-20 12:15:41
30817,TRACE,GONEAWAY,2025-09-20 15:00:34
14184,TRACE,GONEAWAY,2025-09-20 15:18:00
55886,SETTLED,SETTLED,2025-09-20 15:57:37
86556,TRACE,GONEAWAY,2025-09-20 18:03:11
20507,INSOLVENCY,INSP,2025-09-20 18:23:51
37988,SETTLED,SETTLED,2025-09-20 19:00:11
91402,LEGAL,LEG_NOT,2025-09-20 20:22:00
13356,SETTLED,SETTLED,2025-09-20 20:59:27
