account,queue,status,changed_datetime
57726,LEGAL,LEG_NOT,2025-11-17 05:29:10
27497,OTHER,ARCHIVED,2025-11-17 08:37:37
72278,COLLECTIONS,CANCEL4,2025-11-17 08:41:42
13484,PAYING,PAY CURR,2025-11-17 09:36:13
48354,INSOLVENCY,INSP,2025-11-17 11:50:21
89637,INSOLVENCY,INS4,2025-11-17 14:13:08
87394,COLLECTIONS,PAY OVER,2025-11-17 14:58:54
21707,SETTLED,SETTLED,2025-11-17 16:23:30
84256,OTHER,ARCHIVED,2025-11-17 16:35:35
26918,LEGAL,HOLD FO,2025-11-17 17:06:47
49171,COLLECTIONS,PAY OVER,2025-11-17 17:57:38
37988,SETTLED,SETTLED,2025-11-17 19:11:21
92889,LEGAL,LEG_NOT,2025-11-17 20:56:19
13057,LEGAL,LEG_TIT,2025-11-17 21:48:34
