account,queue,status,changed_datetime
66463,PAYING,PAY CURR,2025-03-26 03:21:08
89176,LEGAL,LEG VERIF 2,2025-03-26 04:02:42
50515,SETTLED,SETTLED,2025-03-26 06:37:05
87921,PAYING,PAY CURR,2025-03-26 08:54:13
74894,PAYING,PAY PROP,2025-03-26 11:09:03
60001,SETTLED,SETTLED,2025-03-26 12:44:39
30817,PAYING,PAY CURR,2025-03-26 17:50:10
57726,PAYING,PAY PROP,2025-03-26 17:58:59
34002,PAYING,PAY CURR,2025-03-26 18:09:58
21698,SETTLED,SETTLED,2025-03-26 21:43:05
58120,PAYING,PAY CURR,2025-03-26 22:36:33
