account,queue,status,changed_datetime
29593,INSOLVENCY,INSP,2025-04-09 01:29:58
47984,PAYING,PAY PROP,2025-04-09 03:22:56
57791,TRACE,GONEAWAY,2025-04-09 06:39:59
54341,PAYING,PAY PROP,2025-04-09 06:48:53
17232,TRACE,GONEAWAY,2025-04-09 08:28:49
60001,TRACE,GONEAWAY,2025-04-09 08:57:43
61934,INSOLVENCY,INS2,2025-04-09 16:20:11
42371,SETTLED,SETTLED,2025-04-09 16:55:45
62692,COLLECTIONS,TELSOLUTIONS4,2025-04-09 17:08:12
23982,LEGAL,HOLD FO,2025-04-09 17:45:35
74428,PAYING,PAY CURR,2025-04-09 19:07:17
46986,TRACE,GONEAWAY,2025-04-09 22:30:09
27543,PAYING,PAY CURR,2025-04-09 22:32:36
