account,queue,status,changed_datetime
35227,COLLECTIONS,CANCEL4,2025-11-01 03:33:35
90869,TRACE,GONEAWAY,2025-11-01 03:49:04
44060,OTHER,ARCHIVED,2025-11-01 06:19:39
43882,COLLECTIONS,CASSIST2,2025-11-01 07:56:52
86646,SETTLED,SETTLED,2025-11-01 08:20:39
92829,OTHER,ARCHIVED,2025-11-01 10:32:23
15248,PAYING,PAY PROP,2025-11-01 11:43:56
52219,SETTLED,SETTLED,2025-11-01 13:34:30
45539,LEGAL,HOLD FO,2025-11-01 16:04:29
31903,OTHER,ARCHIVED,2025-11-01 16:54:56
72758,PAYING,PAY CURR,2025-11-01 16:55:46
74428,PAYING,PAY CURR,2025-11-01 18:37:23
47933,COLLECTIONS,CANCEL4,2025-11-01 22:44:48
92221,OTHER,ARCHIVED,2025-11-01 23:19:44
