account,queue,status,changed_datetime
96425,SETTLED,SETTLED,2025-02-27 04:24:51
40079,COLLECTIONS,CANCEL2,2025-02-27 04:51:11
42371,COLLECTIONS,CANCEL2,2025-02-27 08:01:43
46369,OTHER,ARCHIVED,2025-02-27 09:26:29
45539,SETTLED,SETTLED,2025-02-27 09:47:17
30531,COLLECTIONS,PAY OVER,2025-02-27 10:25:15
57417,TRACE,GONEAWAY,2025-02-27 10:44:45
31903,LEGAL,LEG VERIF 2,2025-02-27 11:45:25
21489,PAYING,PAY CURR,2025-02-27 12:11:36
57819,OTHER,ARCHIVED,2025-02-27 12:34:23
67687,PAYING,PAY CURR,2025-02-27 15:40:10
87813,COLLECTIONS,PAY OVER,2025-02-27 16:31:00
40659,OTHER,ARCHIVED,2025-02-27 17:02:19
25073,SETTLED,SETTLED,2025-02-27 17:28:00
16628,COLLECTIONS,CANCEL2,2025-02-27 18:49:03
87394,COLLECTIONS,CANCEL2,2025-02-27 20:22:08
93774,SETTLED,SETTLED,2025-02-27 20:23:01
30817,LEGAL,HOLD FO,2025-02-27 20:28:48
96772,LEGAL,LEG_TIT,2025-02-27 22:35:31
37628,TRACE,GONEAWAY,2025-02-27 23:33:17
