account,queue,status,month,day
74670,SETTLED,SETTLED,09,05
57417,SETTLED,SETTLED,09,05
77145,OTHER,ARCHIVED,09,05
85466,PAYING,PAY PROP,09,05
10506,OTHER,ARCHIVED,09,05
77524,LEGAL,HOLD FO,09,05
26514,PAYING,PAY CURR,09,05
88716,COLLECTIONS,CASSIST2,09,05
52017,OTHER,ARCHIVED,09,05
55992,TRACE,GONEAWAY,09,05
57074,SETTLED,SETTLED,09,05
17232,INSOLVENCY,INS2,09,05
89313,COLLECTIONS,TELSOLUTIONS1,09,05
94956,TRACE,GONEAWAY,09,05
55047,SETTLED,SETTLED,09,05
40198,OTHER,ARCHIVED,09,05
55558,SETTLED,SETTLED,09,05
91712,COLLECTIONS,TELSOLUTIONS4,09,05
84211,PAYING,PAY PROP,09,05
64136,PAYING,PAY CURR,09,05
43108,PAYING,PAY CURR,09,05
45539,INSOLVENCY,INSP,09,05
13416,INSOLVENCY,INSP,09,05
52137,INSOLVENCY,INS2,09,05
82789,COLLECTIONS,CANCEL2,09,05
16628,INSOLVENCY,INS4,09,05
26696,PAYING,PAY CURR,09,05
87459,INSOLVENCY,INS4,09,05
20233,SETTLED,SETTLED,09,05
95997,COLLECTIONS,CANCEL2,09,05
37628,OTHER,ARCHIVED,09,05
86693,INSOLVENCY,INSP,09,05
57726,PAYING,PAY CURR,09,05
57663,LEGAL,HOLD FO,09,05
54123,PAYING,PAY CURR,09,05
16913,TRACE,GONEAWAY,09,05
42494,COLLECTIONS,CASSIST2,09,05
10180,TRACE,GONEAWAY,09,05
15248,TRACE,GONEAWAY,09,05
54718,PAYING,PAY CURR,09,05
66216,PAYING,PAY PROP,09,05
20507,INSOLVENCY,INSP,09,05
49823,TRACE,GONEAWAY,09,05
64713,INSOLVENCY,INS1,09,05
60840,COLLECTIONS,TELSOLUTIONS4,09,05
85173,INSOLVENCY,INS3,09,05
68126,COLLECTIONS,PAY OVER,09,05
80451,LEGAL,LEG_NOT,09,05
32283,PAYING,PAY CURR,09,05
27543,COLLECTIONS,TELSOLUTIONS1,09,05
13206,INSOLVENCY,INS3,09,05
60048,OTHER,ARCHIVED,09,05
19413,COLLECTIONS,PAY OVER,09,05
39175,INSOLVENCY,INS3,09,05
19372,SETTLED,SETTLED,09,05
12247,INSOLVENCY,INS4,09,05
28504,LEGAL,LEG VERIF 2,09,05
78633,LEGAL,LEG_TIT,09,05
46588,OTHER,ARCHIVED,09,05
47543,PAYING,PAY PROP,09,05
27497,PAYING,PAY CURR,09,05
76500,COLLECTIONS,PAY OVER,09,05
96772,PAYING,PAY CURR,09,05
86086,TRACE,GONEAWAY,09,05
23382,OTHER,ARCHIVED,09,05
48388,PAYING,PAY PROP,09,05
16402,TRACE,GONEAWAY,09,05
86556,TRACE,GONEAWAY,09,05
47857,PAYING,PAY PROP,09,05
14567,COLLECTIONS,CASSIST2,09,05
51596,OTHER,ARCHIVED,09,05
17346,OTHER,ARCHIVED,09,05
59791,SETTLED,SETTLED,09,05
31527,COLLECTIONS,TELSOLUTIONS1,09,05
31933,COLLECTIONS,TELSOLUTIONS4,09,05
31903,COLLECTIONS,TELSOLUTIONS1,09,05
71242,LEGAL,LEG VERIF 1,09,05
95230,OTHER,ARCHIVED,09,05
46986,TRACE,GONEAWAY,09,05
72758,OTHER,ARCHIVED,09,05
19986,SETTLED,SETTLED,09,05
96035,SETTLED,SETTLED,09,05
94751,PAYING,PAY PROP,09,05
39629,TRACE,GONEAWAY,09,05
74894,LEGAL,HOLD FO,09,05
54885,OTHER,ARCHIVED,09,05
87432,OTHER,ARCHIVED,09,05
99755,LEGAL,LEG_NOT,09,05
34108,SETTLED,SETTLED,09,05
42252,PAYING,PAY CURR,09,05
78416,SETTLED,SETTLED,09,05
98909,LEGAL,LEG_NOT,09,05
66787,COLLECTIONS,PAY OVER,09,05
65559,COLLECTIONS,CANCEL4,09,05
35861,PAYING,PAY PROP,09,05
94928,OTHER,ARCHIVED,09,05
63368,COLLECTIONS,PRIME_D,09,05
25733,SETTLED,SETTLED,09,05
17993,COLLECTIONS,CANCEL4,09,05
20307,LEGAL,LEG_TIT,09,05
33347,LEGAL,LEG VERIF 1,09,05
61582,LEGAL,HOLD FO,09,05
19523,TRACE,GONEAWAY,09,05
95157,COLLECTIONS,PRIME_D,09,05
73980,OTHER,ARCHIVED,09,05
65428,SETTLED,SETTLED,09,05
41979,SETTLED,SETTLED,09,05
66755,SETTLED,SETTLED,09,05
52436,INSOLVENCY,INS2,09,05
66463,LEGAL,LEG_TIT,09,05
31658,SETTLED,SETTLED,09,05
13484,LEGAL,LEG VERIF 2,09,05
83620,SETTLED,SETTLED,09,05
13124,PAYING,PAY PROP,09,05
33376,COLLECTIONS,TELSOLUTIONS1,09,05
34083,PAYING,PAY CURR,09,05
25726,OTHER,ARCHIVED,09,05
59940,COLLECTIONS,TELSOLUTIONS1,09,05
21453,OTHER,ARCHIVED,09,05
33057,OTHER,ARCHIVED,09,05
53016,PAYING,PAY CURR,09,05
17670,INSOLVENCY,INS4,09,05
71125,PAYING,PAY PROP,09,05
89178,LEGAL,LEG VERIF 1,09,05
62495,TRACE,GONEAWAY,09,05
91710,INSOLVENCY,INSP,09,05
82007,OTHER,ARCHIVED,09,05
37744,COLLECTIONS,CANCEL2,09,05
66106,PAYING,PAY PROP,09,05
25633,SETTLED,SETTLED,09,05
61934,COLLECTIONS,CANCEL2,09,05
29593,OTHER,ARCHIVED,09,05
89612,OTHER,ARCHIVED,09,05
74104,INSOLVENCY,INS3,09,05
54296,COLLECTIONS,CANCEL2,09,05
30746,INSOLVENCY,INS2,09,05
51216,LEGAL,LEG_TIT,09,05
34002,PAYING,PAY PROP,09,05
95274,LEGAL,HOLD FO,09,05
13664,PAYING,PAY CURR,09,05
61279,INSOLVENCY,INS2,09,05
62595,LEGAL,LEG_NOT,09,05
11916,TRACE,GONEAWAY,09,05
44286,INSOLVENCY,INS1,09,05
82269,PAYING,PAY PROP,09,05
58120,SETTLED,SETTLED,09,05
54341,TRACE,GONEAWAY,09,05
54765,INSOLVENCY,INS1,09,05
59502,OTHER,ARCHIVED,09,05
35227,TRACE,GONEAWAY,09,05
42371,PAYING,PAY PROP,09,05
60663,OTHER,ARCHIVED,09,05
81675,OTHER,ARCHIVED,09,05
93809,OTHER,ARCHIVED,09,05
62106,OTHER,ARCHIVED,09,05
13883,COLLECTIONS,PAY OVER,09,05
35504,COLLECTIONS,PAY OVER,09,05
97132,INSOLVENCY,INS1,09,05
93496,INSOLVENCY,INS2,09,05
31233,LEGAL,LEG VERIF 1,09,05
41546,INSOLVENCY,INS2,09,05
91658,INSOLVENCY,INSP,09,05
44060,COLLECTIONS,TELSOLUTIONS4,09,05
30817,TRACE,GONEAWAY,09,05
14184,SETTLED,SETTLED,09,05
55886,SETTLED,SETTLED,09,05
37988,SETTLED,SETTLED,09,05
91402,LEGAL,LEG_NOT,09,05
13356,SETTLED,SETTLED,09,05
59505,COLLECTIONS,TELSOLUTIONS4,09,05
18486,LEGAL,LEG VERIF 1,09,05
23780,SETTLED,SETTLED,09,05
46369,TRACE,GONEAWAY,09,05
83051,TRACE,GONEAWAY,09,05
72838,INSOLVENCY,INS1,09,05
22047,SETTLED,SETTLED,09,05
32552,LEGAL,HOLD FO,09,05
62692,PAYING,PAY PROP,09,05
47532,LEGAL,LEG_NOT,09,05
67443,COLLECTIONS,PAY OVER,09,05
97989,INSOLVENCY,INSP,09,05
28442,LEGAL,LEG_TIT,09,05
36810,INSOLVENCY,INS3,09,05
67396,COLLECTIONS,CASSIST2,09,05
39116,OTHER,ARCHIVED,09,05
41740,SETTLED,SETTLED,09,05
25635,SETTLED,SETTLED,09,05
56539,SETTLED,SETTLED,09,05
24762,INSOLVENCY,INS3,09,05
61708,LEGAL,LEG_NOT,09,05
91331,INSOLVENCY,INS3,09,05
90725,OTHER,ARCHIVED,09,05
52219,INSOLVENCY,INS3,09,05
83943,TRACE,GONEAWAY,09,05
74428,SETTLED,SETTLED,09,05
42747,INSOLVENCY,INS1,09,05
44502,LEGAL,LEG VERIF 2,09,05
17948,TRACE,GONEAWAY,09,05
84256,COLLECTIONS,TELSOLUTIONS4,09,05
92221,SETTLED,SETTLED,09,05
38621,PAYING,PAY CURR,09,05
10585,COLLECTIONS,PAY OVER,09,05
98254,LEGAL,LEG VERIF 1,09,05
95599,PAYING,PAY PROP,09,05
89637,TRACE,GONEAWAY,09,05
46545,TRACE,GONEAWAY,09,05
98849,COLLECTIONS,TELSOLUTIONS1,09,05
50515,TRACE,GONEAWAY,09,05
63848,TRACE,GONEAWAY,09,05
32252,PAYING,PAY CURR,09,05
89082,INSOLVENCY,INS3,09,05
