account,queue,status,changed_datetime
43108,INSOLVENCY,INSP,2025-10-23 00:17:13
97132,COLLECTIONS,PAY OVER,2025-10-23 02:13:24
54765,SETTLED,SETTLED,2025-10-23 02:50:57
75723,SETTLED,SETTLED,2025-10-23 03:25:35
14671,INSOLVENCY,INS4,2025-10-23 05:17:07
30817,SETTLED,SETTLED,2025-10-23 06:32:58
27497,TRACE,GONEAWAY,2025-10-23 07:25:38
59505,PAYING,PAY PROP,2025-10-23 07:27:04
32687,PAYING,PAY CURR,2025-10-23 12:02:28
95291,INSOLVENCY,INS4,2025-10-23 14:48:53
12247,PAYING,PAY PROP,2025-10-23 15:04:39
71242,PAYING,PAY PROP,2025-10-23 16:23:24
37781,TRACE,GONEAWAY,2025-10-23 16:56:52
63368,TRACE,GONEAWAY,2025-10-23 22:13:33
47543,PAYING,PAY CURR,2025-10-23 22:33:24
19986,TRACE,GONEAWAY,2025-10-23 23:21:14
