account,queue,status,changed_datetime
59505,SETTLED,SETTLED,2025-07-17 05:13:35
42371,TRACE,GONEAWAY,2025-07-17 05:56:51
82269,LEGAL,HOLD FO,2025-07-17 06:21:02
52697,PAYING,PAY PROP,2025-07-17 06:24:32
36810,SETTLED,SETTLED,2025-07-17 06:38:07
63223,PAYING,PAY PROP,2025-07-17 09:22:43
91001,PAYING,PAY PROP,2025-07-17 10:13:40
17948,TRACE,GONEAWAY,2025-07-17 11:07:37
86494,OTHER,ARCHIVED,2025-07-17 12:14:48
69833,PAYING,PAY PROP,2025-07-17 12:43:03
86494,PAYING,PAY CURR,2025-07-17 13:13:19
52609,SETTLED,SETTLED,2025-07-17 15:51:05
