account,queue,status,changed_datetime
58984,OTHER,ARCHIVED,2025-01-31 02:00:08
58120,PAYING,PAY CURR,2025-01-31 02:04:58
93809,COLLECTIONS,CANCEL4,2025-01-31 04:39:26
14117,LEGAL,HOLD FO,2025-01-31 04:54:07
19372,TRACE,GONEAWAY,2025-01-31 06:26:48
73556,COLLECTIONS,CANCEL4,2025-01-31 09:04:18
54275,SETTLED,SETTLED,2025-01-31 11:51:26
67687,COLLECTIONS,PAY OVER,2025-01-31 11:54:56
95997,PAYING,PAY PROP,2025-01-31 12:07:21
44502,COLLECTIONS,PRIME_D,2025-01-31 12:12:03
22367,LEGAL,LEG_NOT,2025-01-31 13:17:08
98909,TRACE,GONEAWAY,2025-01-31 17:52:37
20457,PAYING,PAY PROP,2025-01-31 19:31:38
