account,queue,status,changed_datetime
31933,LEGAL,LEG_NOT,2025-06-29 00:13:14
57417,COLLECTIONS,TELSOLUTIONS4,2025-06-29 00:53:02
57074,COLLECTIONS,CANCEL2,2025-06-29 01:01:44
83776,TRACE,GONEAWAY,2025-06-29 02:08:51
77262,INSOLVENCY,INS1,2025-06-29 04:09:25
13787,SETTLED,SETTLED,2025-06-29 04:37:08
42252,TRACE,GONEAWAY,2025-06-29 06:39:54
62692,TRACE,GONEAWAY,2025-06-29 06:50:25
58984,PAYING,PAY CURR,2025-06-29 08:16:10
13664,COLLECTIONS,CASSIST2,2025-06-29 09:32:12
66463,PAYING,PAY CURR,2025-06-29 12:55:53
84455,INSOLVENCY,INS2,2025-06-29 13:33:46
32687,COLLECTIONS,TELSOLUTIONS1,2025-06-29 15:30:27
48880,TRACE,GONEAWAY,2025-06-29 17:48:27
31527,SETTLED,SETTLED,2025-06-29 19:21:13
13484,COLLECTIONS,PRIME,2025-06-29 20:24:57
77356,LEGAL,LEG_NOT,2025-06-29 21:47:01
