account,queue,status,changed_datetime
61582,INSOLVENCY,INSP,2025-10-29 00:41:54
26686,TRACE,GONEAWAY,2025-10-29 03:03:46
77262,PAYING,PAY PROP,2025-10-29 03:22:46
14006,INSOLVENCY,INS3,2025-10-29 04:41:16
82735,OTHER,ARCHIVED,2025-10-29 05:58:44
59399,COLLECTIONS,PRIME,2025-10-29 07:39:56
21399,TRACE,GONEAWAY,2025-10-29 10:15:45
30496,INSOLVENCY,INS1,2025-10-29 13:10:44
37781,INSOLVENCY,INS1,2025-10-29 14:53:48
99755,INSOLVENCY,INS3,2025-10-29 17:32:14
79521,INSOLVENCY,INS4,2025-10-29 17:48:02
83652,SETTLED,SETTLED,2025-10-29 21:40:31
34083,PAYING,PAY CURR,2025-10-29 23:21:21
14567,OTHER,ARCHIVED,2025-10-29 23:35:36
