account,queue,status,changed_datetime
11916,SETTLED,SETTLED,2025-11-12 01:02:55
32832,PAYING,PAY PROP,2025-11-12 01:09:00
90467,SETTLED,SETTLED,2025-11-12 03:18:28
87921,SETTLED,SETTLED,2025-11-12 03:24:10
70180,OTHER,ARCHIVED,2025-11-12 04:29:55
59399,TRACE,GONEAWAY,2025-11-12 05:34:44
77145,OTHER,ARCHIVED,2025-11-12 05:50:05
34177,INSOLVENCY,INS4,2025-11-12 06:22:53
70629,INSOLVENCY,INS3,2025-11-12 06:47:41
11336,LEGAL,LEG_TIT,2025-11-12 10:36:16
31233,PAYING,PAY CURR,2025-11-12 11:32:37
25073,LEGAL,LEG VERIF 2,2025-11-12 13:16:57
26066,PAYING,PAY PROP,2025-11-12 15:30:27
76500,PAYING,PAY CURR,2025-11-12 16:28:23
26686,TRACE,GONEAWAY,2025-11-12 17:58:03
61550,INSOLVENCY,INS3,2025-11-12 19:48:26
90467,COLLECTIONS,TELSOLUTIONS1,2025-11-12 22:00:35
97280,INSOLVENCY,INS4,2025-11-12 22:39:15
