account,queue,status,changed_datetime
15680,LEGAL,LEG_NOT,2025-07-16 01:45:15
51596,LEGAL,HOLD FO,2025-07-16 04:01:31
88333,OTHER,ARCHIVED,2025-07-16 05:13:04
85557,LEGAL,LEG_NOT,2025-07-16 07:29:53
28382,TRACE,GONEAWAY,2025-07-16 07:34:22
26168,SETTLED,SETTLED,2025-07-16 08:34:47
91001,OTHER,ARCHIVED,2025-07-16 10:55:09
95274,TRACE,GONEAWAY,2025-07-16 12:33:15
27543,OTHER,ARCHIVED,2025-07-16 14:05:20
25733,OTHER,ARCHIVED,2025-07-16 15:30:30
86650,COLLECTIONS,TELSOLUTIONS1,2025-07-16 18:07:40
57663,SETTLED,SETTLED,2025-07-16 19:10:14
33057,COLLECTIONS,PRIME_D,2025-07-16 21:24:37
11356,COLLECTIONS,CANCEL2,2025-07-16 23:12:07
