account,queue,status,changed_datetime
86086,INSOLVENCY,INSP,2025-04-27 00:28:04
91712,OTHER,ARCHIVED,2025-04-27 02:48:09
25073,COLLECTIONS,PAY OVER,2025-04-27 02:51:26
54765,LEGAL,LEG_TIT,2025-04-27 05:05:58
98794,LEGAL,LEG_TIT,2025-04-27 06:13:48
21707,SETTLED,SETTLED,2025-04-27 08:24:14
58244,INSOLVENCY,INS4,2025-04-27 10:22:57
40540,COLLECTIONS,PAY OVER,2025-04-27 11:48:19
82007,PAYING,PAY CURR,2025-04-27 11:49:50
52017,OTHER,ARCHIVED,2025-04-27 14:49:06
35504,LEGAL,HOLD FO,2025-04-27 17:08:21
86013,SETTLED,SETTLED,2025-04-27 21:49:28
72838,INSOLVENCY,INS3,2025-04-27 22:56:08
35504,PAYING,PAY CURR,2025-04-27 23:46:13
