account,queue,status,changed_datetime
32998,TRACE,GONEAWAY,2025-08-18 03:24:28
14184,SETTLED,SETTLED,2025-08-18 04:47:34
48606,LEGAL,HOLD FO,2025-08-18 05:27:59
72758,SETTLED,SETTLED,2025-08-18 07:17:32
92255,LEGAL,LEG VERIF 1,2025-08-18 07:25:49
43403,INSOLVENCY,INS3,2025-08-18 07:34:50
82269,PAYING,PAY CURR,2025-08-18 08:36:39
89313,LEGAL,LEG VERIF 2,2025-08-18 08:55:36
33347,PAYING,PAY CURR,2025-08-18 09:36:05
63285,OTHER,ARCHIVED,2025-08-18 11:08:05
30943,LEGAL,LEG_NOT,2025-08-18 16:20:31
36313,INSOLVENCY,INS3,2025-08-18 17:29:24
78078,INSOLVENCY,INS2,2025-08-18 18:40:07
95157,LEGAL,LEG_NOT,2025-08-18 19:06:28
54885,INSOLVENCY,INSP,2025-08-18 19:27:12
79792,SETTLED,SETTLED,2025-08-18 19:42:43
73732,SETTLED,SETTLED,2025-08-18 20:37:48
11916,TRACE,GONEAWAY,2025-08-18 23:53:54
