account,queue,status,changed_datetime
38899,SETTLED,SETTLED,2025-05-15 00:42:13
35919,PAYING,PAY PROP,2025-05-15 05:05:32
66755,TRACE,GONEAWAY,2025-05-15 09:15:49
66787,OTHER,ARCHIVED,2025-05-15 09:30:00
63848,LEGAL,LEG_TIT,2025-05-15 10:20:57
43882,SETTLED,SETTLED,2025-05-15 11:02:26
46545,OTHER,ARCHIVED,2025-05-15 11:46:41
46545,SETTLED,SETTLED,2025-05-15 13:00:57
35227,LEGAL,LEG_TIT,2025-05-15 13:50:02
52137,COLLECTIONS,PRIME,2025-05-15 14:46:50
57417,SETTLED,SETTLED,2025-05-15 16:43:55
59940,LEGAL,LEG_TIT,2025-05-15 17:26:11
87394,OTHER,ARCHIVED,2025-05-15 18:05:26
96772,INSOLVENCY,INS2,2025-05-15 18:21:13
91001,OTHER,ARCHIVED,2025-05-15 22:36:04
69791,TRACE,GONEAWAY,2025-05-15 23:49:13
