account,queue,status,month,day
80893,INSOLVENCY,INS3,08,05
26742,COLLECTIONS,PRIME_D,08,05
86650,TRACE,GONEAWAY,08,05
52017,LEGAL,LEG_NOT,08,05
15004,PAYING,PAY CURR,08,05
91142,PAYING,PAY PROP,08,05
96035,OTHER,ARCHIVED,08,05
15248,INSOLVENCY,INSP,08,05
75042,SETTLED,SETTLED,08,05
45393,COLLECTIONS,CANCEL4,08,05
33687,SETTLED,SETTLED,08,05
17821,PAYING,PAY CURR,08,05
30746,OTHER,ARCHIVED,08,05
30943,LEGAL,LEG_NOT,08,05
16402,TRACE,GONEAWAY,08,05
13787,TRACE,GONEAWAY,08,05
61279,OTHER,ARCHIVED,08,05
19986,LEGAL,LEG_TIT,08,05
76500,LEGAL,LEG_TIT,08,05
28504,COLLECTIONS,TELSOLUTIONS1,08,05
93774,COLLECTIONS,CASSIST2,08,05
66463,PAYING,PAY PROP,08,05
45153,SETTLED,SETTLED,08,05
40856,TRACE,GONEAWAY,08,05
25733,LEGAL,LEG VERIF 1,08,05
50973,OTHER,ARCHIVED,08,05
62345,COLLECTIONS,PRIME_D,08,05
39776,PAYING,PAY CURR,08,05
66158,PAYING,PAY CURR,08,05
91678,SETTLED,SETTLED,08,05
44286,SETTLED,SETTLED,08,05
74894,LEGAL,HOLD FO,08,05
16628,SETTLED,SETTLED,08,05
42371,PAYING,PAY PROP,08,05
58892,INSOLVENCY,INS4,08,05
37628,SETTLED,SETTLED,08,05
35401,OTHER,ARCHIVED,08,05
39116,OTHER,ARCHIVED,08,05
31903,COLLECTIONS,PAY OVER,08,05
88716,OTHER,ARCHIVED,08,05
52697,SETTLED,SETTLED,08,05
89176,TRACE,GONEAWAY,08,05
97918,INSOLVENCY,INS1,08,05
94751,LEGAL,LEG VERIF 2,08,05
92669,PAYING,PAY PROP,08,05
31172,TRACE,GONEAWAY,08,05
44060,LEGAL,LEG_TIT,08,05
34177,INSOLVENCY,INS2,08,05
94714,INSOLVENCY,INS3,08,05
83776,LEGAL,LEG VERIF 1,08,05
97661,SETTLED,SETTLED,08,05
98298,SETTLED,SETTLED,08,05
86693,LEGAL,LEG VERIF 2,08,05
23382,LEGAL,LEG VERIF 1,08,05
54885,INSOLVENCY,INSP,08,05
86347,TRACE,GONEAWAY,08,05
97730,OTHER,ARCHIVED,08,05
54275,COLLECTIONS,PRIME_D,08,05
14184,SETTLED,SETTLED,08,05
90725,INSOLVENCY,INS2,08,05
14567,COLLECTIONS,CASSIST2,08,05
17413,SETTLED,SETTLED,08,05
74699,TRACE,GONEAWAY,08,05
21489,LEGAL,LEG VERIF 2,08,05
41546,INSOLVENCY,INS4,08,05
13883,SETTLED,SETTLED,08,05
46369,OTHER,ARCHIVED,08,05
53016,COLLECTIONS,TELSOLUTIONS4,08,05
98794,INSOLVENCY,INS1,08,05
88060,OTHER,ARCHIVED,08,05
91658,LEGAL,HOLD FO,08,05
49999,PAYING,PAY CURR,08,05
77356,COLLECTIONS,TELSOLUTIONS1,08,05
71048,INSOLVENCY,INSP,08,05
87394,SETTLED,SETTLED,08,05
47103,COLLECTIONS,TELSOLUTIONS1,08,05
73634,LEGAL,LEG VERIF 2,08,05
66138,TRACE,GONEAWAY,08,05
66755,TRACE,GONEAWAY,08,05
45539,COLLECTIONS,PRIME_D,08,05
77426,COLLECTIONS,PAY OVER,08,05
87921,INSOLVENCY,INS1,08,05
19413,COLLECTIONS,PRIME_D,08,05
34002,LEGAL,HOLD FO,08,05
86646,INSOLVENCY,INS3,08,05
19675,TRACE,GONEAWAY,08,05
47933,LEGAL,LEG_NOT,08,05
12247,COLLECTIONS,PAY OVER,08,05
58120,OTHER,ARCHIVED,08,05
67396,TRACE,GONEAWAY,08,05
17320,PAYING,PAY PROP,08,05
77395,LEGAL,LEG VERIF 1,08,05
43108,TRACE,GONEAWAY,08,05
19949,INSOLVENCY,INS3,08,05
