account,queue,status,changed_datetime
92255,TRACE,GONEAWAY,2025-02-21 02:45:18
39966,LEGAL,HOLD FO,2025-02-21 03:47:21
38921,PAYING,PAY PROP,2025-02-21 05:37:03
91001,INSOLVENCY,INS4,2025-02-21 06:19:11
31933,COLLECTIONS,PAY OVER,2025-02-21 06:20:41
48786,PAYING,PAY CURR,2025-02-21 11:09:15
56961,COLLECTIONS,CANCEL2,2025-02-21 13:00:44
98909,COLLECTIONS,CANCEL4,2025-02-21 13:26:50
36291,COLLECTIONS,PAY OVER,2025-02-21 13:46:04
52087,TRACE,GONEAWAY,2025-02-21 14:36:25
78987,TRACE,GONEAWAY,2025-02-21 17:14:22
