account,queue,status,changed_datetime
16913,TRACE,GONEAWAY,2025-10-27 00:31:25
10388,OTHER,ARCHIVED,2025-10-27 00:50:04
84211,PAYING,PAY CURR,2025-10-27 03:25:13
78078,TRACE,GONEAWAY,2025-10-27 03:58:44
34083,SETTLED,SETTLED,2025-10-27 05:00:10
44289,LEGAL,LEG VERIF 1,2025-10-27 06:29:00
61279,OTHER,ARCHIVED,2025-10-27 06:35:55
56961,COLLECTIONS,TELSOLUTIONS1,2025-10-27 07:50:05
84211,INSOLVENCY,INS3,2025-10-27 08:32:12
89176,SETTLED,SETTLED,2025-10-27 08:37:57
17346,COLLECTIONS,PRIME_D,2025-10-27 09:04:13
52137,COLLECTIONS,CANCEL2,2025-10-27 10:15:50
77262,INSOLVENCY,INS3,2025-10-27 10:28:37
63368,SETTLED,SETTLED,2025-10-27 11:34:33
54341,OTHER,ARCHIVED,2025-10-27 13:27:48
98254,OTHER,ARCHIVED,2025-10-27 14:16:17
35919,TRACE,GONEAWAY,2025-10-27 14:56:00
53017,PAYING,PAY PROP,2025-10-27 15:50:10
48606,TRACE,GONEAWAY,2025-10-27 21:04:33
45495,TRACE,GONEAWAY,2025-10-27 22:02:44
