account,queue,status,changed_datetime
29623,OTHER,ARCHIVED,2025-03-31 04:19:28
66106,SETTLED,SETTLED,2025-03-31 04:24:59
77521,SETTLED,SETTLED,2025-03-31 06:29:11
41740,LEGAL,LEG_NOT,2025-03-31 06:57:32
22047,PAYING,PAY CURR,2025-03-31 08:12:11
37988,PAYING,PAY CURR,2025-03-31 11:29:10
34002,TRACE,GONEAWAY,2025-03-31 12:13:24
98298,OTHER,ARCHIVED,2025-03-31 12:36:13
70629,COLLECTIONS,CANCEL2,2025-03-31 13:37:28
68484,INSOLVENCY,INS3,2025-03-31 14:37:58
77356,COLLECTIONS,PRIME_D,2025-03-31 17:46:50
14184,TRACE,GONEAWAY,2025-03-31 21:05:02
96772,LEGAL,LEG_TIT,2025-03-31 22:23:19
