account,queue,status,changed_datetime
63285,OTHER,ARCHIVED,2025-11-06 00:13:30
19986,SETTLED,SETTLED,2025-11-06 00:34:36
77513,COLLECTIONS,CANCEL4,2025-11-06 01:02:07
84455,TRACE,GONEAWAY,2025-11-06 03:54:23
80893,INSOLVENCY,INS2,2025-11-06 06:21:56
27620,COLLECTIONS,TELSOLUTIONS4,2025-11-06 08:38:52
20457,PAYING,PAY PROP,2025-11-06 08:58:45
41979,COLLECTIONS,CASSIST2,2025-11-06 10:01:46
13057,TRACE,GONEAWAY,2025-11-06 12:44:57
84211,PAYING,PAY CURR,2025-11-06 13:09:37
30746,SETTLED,SETTLED,2025-11-06 14:53:09
61708,SETTLED,SETTLED,2025-11-06 15:22:24
48786,PAYING,PAY CURR,2025-11-06 17:19:45
94714,COLLECTIONS,PRIME_D,2025-11-06 18:22:55
73732,LEGAL,LEG VERIF 1,2025-11-06 19:11:30
55886,PAYING,PAY CURR,2025-11-06 20:00:06
47801,INSOLVENCY,INSP,2025-11-06 23:38:18
