account,queue,status,changed_datetime
63848,OTHER,ARCHIVED,2025-03-16 01:57:17
16198,COLLECTIONS,PRIME,2025-03-16 03:47:16
89176,COLLECTIONS,PRIME,2025-03-16 05:13:22
66158,TRACE,GONEAWAY,2025-03-16 05:51:47
48388,SETTLED,SETTLED,2025-03-16 06:43:37
39175,COLLECTIONS,TELSOLUTIONS1,2025-03-16 08:48:45
11449,OTHER,ARCHIVED,2025-03-16 10:09:08
41740,LEGAL,HOLD FO,2025-03-16 10:32:26
97989,PAYING,PAY PROP,2025-03-16 11:23:07
13484,PAYING,PAY PROP,2025-03-16 17:32:30
62836,SETTLED,SETTLED,2025-03-16 18:24:10
42247,TRACE,GONEAWAY,2025-03-16 23:25:15
