account,queue,status,changed_datetime
59505,COLLECTIONS,TELSOLUTIONS4,2025-09-21 00:49:38
66106,PAYING,PAY PROP,2025-09-21 01:02:08
52137,INSOLVENCY,INS2,2025-09-21 02:00:24
18486,SETTLED,SETTLED,2025-09-21 05:18:46
83620,SETTLED,SETTLED,2025-09-21 05:25:15
23780,SETTLED,SETTLED,2025-09-21 07:08:48
46369,TRACE,GONEAWAY,2025-09-21 09:41:17
83051,TRACE,GONEAWAY,2025-09-21 12:37:54
27543,COLLECTIONS,TELSOLUTIONS1,2025-09-21 13:10:37
42494,COLLECTIONS,CASSIST2,2025-09-21 15:02:16
68126,COLLECTIONS,PAY OVER,2025-09-21 15:58:50
72838,INSOLVENCY,INS1,2025-09-21 19:52:38
10506,OTHER,ARCHIVED,2025-09-21 20:45:46
22047,SETTLED,SETTLED,2025-09-21 21:29:40
