account,queue,status,changed_datetime
74670,LEGAL,LEG VERIF 2,2025-09-01 00:38:01
57417,SETTLED,SETTLED,2025-09-01 01:25:31
77145,PAYING,PAY CURR,2025-09-01 04:55:34
85466,TRACE,GONEAWAY,2025-09-01 06:12:41
10506,LEGAL,LEG VERIF 2,2025-09-01 10:40:46
77524,LEGAL,HOLD FO,2025-09-01 11:09:19
26514,PAYING,PAY CURR,2025-09-01 17:41:08
88716,TRACE,GONEAWAY,2025-09-01 18:03:16
52017,TRACE,GONEAWAY,2025-09-01 18:24:08
55992,TRACE,GONEAWAY,2025-09-01 18:50:06
57074,COLLECTIONS,PRIME,2025-09-01 20:18:56
17232,INSOLVENCY,INS2,2025-09-01 20:42:38
89313,COLLECTIONS,TELSOLUTIONS1,2025-09-01 20:55:34
94956,TRACE,GONEAWAY,2025-09-01 21:00:05
77145,OTHER,ARCHIVED,2025-09-01 22:17:48
