account,queue,status,changed_datetime
86013,PAYING,PAY CURR,2025-02-04 05:06:11
13664,TRACE,GONEAWAY,2025-02-04 06:50:33
98298,TRACE,GONEAWAY,2025-02-04 08:12:00
43314,SETTLED,SETTLED,2025-02-04 10:11:49
46986,OTHER,ARCHIVED,2025-02-04 10:20:45
83620,SETTLED,SETTLED,2025-02-04 14:50:11
65156,COLLECTIONS,CASSIST2,2025-02-04 14:57:01
58473,TRACE,GONEAWAY,2025-02-04 17:06:27
84256,PAYING,PAY PROP,2025-02-04 18:37:10
82735,OTHER,ARCHIVED,2025-02-04 20:25:39
35919,COLLECTIONS,PRIME,2025-02-04 22:31:01
