account,queue,status,changed_datetime
91142,COLLECTIONS,CASSIST2,2025-03-27 00:47:16
90540,LEGAL,LEG VERIF 2,2025-03-27 01:15:17
95324,OTHER,ARCHIVED,2025-03-27 01:28:29
85173,INSOLVENCY,INS4,2025-03-27 03:03:20
54123,OTHER,ARCHIVED,2025-03-27 05:13:34
72758,COLLECTIONS,PRIME_D,2025-03-27 08:33:49
95948,PAYING,PAY CURR,2025-03-27 10:30:27
48388,SETTLED,SETTLED,2025-03-27 10:35:18
85241,LEGAL,LEG VERIF 1,2025-03-27 10:39:40
10180,OTHER,ARCHIVED,2025-03-27 11:07:00
46986,TRACE,GONEAWAY,2025-03-27 11:35:15
80893,PAYING,PAY PROP,2025-03-27 11:52:52
59399,INSOLVENCY,INS3,2025-03-27 12:54:44
50515,TRACE,GONEAWAY,2025-03-27 14:39:18
97661,SETTLED,SETTLED,2025-03-27 14:49:30
68436,OTHER,ARCHIVED,2025-03-27 17:12:37
86013,COLLECTIONS,TELSOLUTIONS1,2025-03-27 17:13:13
10585,PAYING,PAY CURR,2025-03-27 21:43:13
95948,COLLECTIONS,PAY OVER,2025-03-27 22:04:27
