account,queue,status,changed_datetime
36291,LEGAL,LEG_TIT,2025-02-03 00:11:22
91537,SETTLED,SETTLED,2025-02-03 00:32:23
37924,LEGAL,HOLD FO,2025-02-03 01:29:09
39116,PAYING,PAY CURR,2025-02-03 01:29:28
14567,SETTLED,SETTLED,2025-02-03 02:34:57
52087,COLLECTIONS,CANCEL4,2025-02-03 05:44:22
74428,COLLECTIONS,CASSIST2,2025-02-03 06:01:17
85241,INSOLVENCY,INS2,2025-02-03 06:02:39
97280,LEGAL,LEG VERIF 2,2025-02-03 07:09:06
27620,SETTLED,SETTLED,2025-02-03 08:16:12
90213,OTHER,ARCHIVED,2025-02-03 10:35:22
40079,COLLECTIONS,PAY OVER,2025-02-03 12:00:58
63223,COLLECTIONS,PAY OVER,2025-02-03 12:14:06
89178,LEGAL,LEG_TIT,2025-02-03 14:23:37
32998,TRACE,GONEAWAY,2025-02-03 18:19:37
45495,OTHER,ARCHIVED,2025-02-03 18:59:58
60199,OTHER,ARCHIVED,2025-02-03 21:27:11
19523,TRACE,GONEAWAY,2025-02-03 23:37:07
