account,queue,status,changed_datetime
85557,TRACE,GONEAWAY,2025-01-30 00:09:29
46992,COLLECTIONS,CANCEL4,2025-01-30 00:32:16
70219,SETTLED,SETTLED,2025-01-30 01:03:33
87813,PAYING,PAY CURR,2025-01-30 02:11:36
87432,TRACE,GONEAWAY,2025-01-30 03:06:22
39776,INSOLVENCY,INS3,2025-01-30 06:04:29
12247,INSOLVENCY,INS1,2025-01-30 08:11:01
29593,OTHER,ARCHIVED,2025-01-30 09:22:03
55047,COLLECTIONS,TELSOLUTIONS1,2025-01-30 10:36:52
48354,TRACE,GONEAWAY,2025-01-30 12:48:15
34083,INSOLVENCY,INS1,2025-01-30 12:50:57
67303,TRACE,GONEAWAY,2025-01-30 13:18:37
25635,SETTLED,SETTLED,2025-01-30 14:35:10
30531,TRACE,GONEAWAY,2025-01-30 14:40:59
92889,TRACE,GONEAWAY,2025-01-30 16:03:59
78633,COLLECTIONS,CANCEL2,2025-01-30 20:33:35
40659,SETTLED,SETTLED,2025-01-30 21:02:19
