account,queue,status,changed_datetime
31172,PAYING,PAY CURR,2024-12-18 00:48:26
64246,OTHER,ARCHIVED,2024-12-18 01:50:06
21453,SETTLED,SETTLED,2024-12-18 03:16:25
91435,TRACE,GONEAWAY,2024-12-18 03:56:28
21415,TRACE,GONEAWAY,2024-12-18 04:42:53
52697,SETTLED,SETTLED,2024-12-18 06:34:38
39966,INSOLVENCY,INS3,2024-12-18 06:38:10
75042,INSOLVENCY,INS2,2024-12-18 07:56:41
75042,OTHER,ARCHIVED,2024-12-18 09:48:36
18838,TRACE,GONEAWAY,2024-12-18 11:11:18
84256,LEGAL,LEG_NOT,2024-12-18 12:44:05
20507,INSOLVENCY,INSP,2024-12-18 13:50:23
34108,COLLECTIONS,CANCEL2,2024-12-18 14:02:14
11254,LEGAL,HOLD FO,2024-12-18 15:58:54
91678,COLLECTIONS,CANCEL2,2024-12-18 16:09:48
58434,SETTLED,SETTLED,2024-12-18 18:23:51
45495,INSOLVENCY,INS3,2024-12-18 22:09:40
22047,INSOLVENCY,INS2,2024-12-18 23:02:40
