account,queue,status,changed_datetime
94751,PAYING,PAY PROP,2025-09-11 00:51:14
39629,LEGAL,LEG_TIT,2025-09-11 01:43:26
74894,OTHER,ARCHIVED,2025-09-11 02:07:08
54885,OTHER,ARCHIVED,2025-09-11 02:40:50
87432,OTHER,ARCHIVED,2025-09-11 03:01:05
99755,LEGAL,HOLD FO,2025-09-11 07:46:56
34108,SETTLED,SETTLED,2025-09-11 08:09:11
42252,SETTLED,SETTLED,2025-09-11 13:15:34
10180,PAYING,PAY PROP,2025-09-11 14:04:18
78416,SETTLED,SETTLED,2025-09-11 15:08:17
98909,LEGAL,LEG_NOT,2025-09-11 15:10:28
13416,OTHER,ARCHIVED,2025-09-11 15:54:27
19413,COLLECTIONS,PAY OVER,2025-09-11 17:03:49
57074,SETTLED,SETTLED,2025-09-11 17:47:58
66787,COLLECTIONS,PAY OVER,2025-09-11 21:53:44
68126,SETTLED,SETTLED,2025-09-11 23:59:57
