account,queue,status,changed_datetime
57663,OTHER,ARCHIVED,2025-03-29 03:26:11
62836,INSOLVENCY,INS1,2025-03-29 04:02:47
85557,PAYING,PAY PROP,2025-03-29 04:11:35
13124,SETTLED,SETTLED,2025-03-29 06:44:12
57074,INSOLVENCY,INS4,2025-03-29 08:06:34
58244,PAYING,PAY CURR,2025-03-29 09:05:52
30943,COLLECTIONS,PAY OVER,2025-03-29 11:24:38
85441,SETTLED,SETTLED,2025-03-29 12:48:54
21698,TRACE,GONEAWAY,2025-03-29 13:41:55
84118,PAYING,PAY CURR,2025-03-29 14:10:56
62595,COLLECTIONS,TELSOLUTIONS4,2025-03-29 14:29:01
66463,OTHER,ARCHIVED,2025-03-29 16:07:16
49823,COLLECTIONS,PRIME,2025-03-29 17:50:46
60001,OTHER,ARCHIVED,2025-03-29 18:00:51
39453,INSOLVENCY,INSP,2025-03-29 18:21:19
30496,OTHER,ARCHIVED,2025-03-29 21:44:37
19675,TRACE,GONEAWAY,2025-03-29 21:51:31
64070,LEGAL,LEG_NOT,2025-03-29 22:15:41
