account,queue,status,changed_datetime
77395,LEGAL,LEG VERIF 2,2025-02-05 01:11:27
81029,COLLECTIONS,CASSIST2,2025-02-05 02:45:11
87394,LEGAL,LEG VERIF 1,2025-02-05 03:24:07
91712,OTHER,ARCHIVED,2025-02-05 03:30:28
42494,PAYING,PAY CURR,2025-02-05 03:44:56
85922,TRACE,GONEAWAY,2025-02-05 05:24:13
48388,TRACE,GONEAWAY,2025-02-05 07:10:53
19086,SETTLED,SETTLED,2025-02-05 10:11:18
51216,SETTLED,SETTLED,2025-02-05 15:33:48
75723,COLLECTIONS,PAY OVER,2025-02-05 15:52:53
20457,TRACE,GONEAWAY,2025-02-05 16:02:07
17320,TRACE,GONEAWAY,2025-02-05 17:37:07
94606,INSOLVENCY,INS4,2025-02-05 18:31:15
13883,LEGAL,HOLD FO,2025-02-05 19:41:02
63538,TRACE,GONEAWAY,2025-02-05 20:23:05
11254,INSOLVENCY,INS4,2025-02-05 21:50:07
87459,COLLECTIONS,CANCEL2,2025-02-05 22:34:24
